label,index,filename,mjd,x_star,y_star,flux
"StarA_(2534,3467)",58,V462_sloan_r_60.000secs_00000213_red.fits,60963.20653119213,2578.9986111404933,3437.0015370133983,2946.358648409652
"StarA_(2534,3467)",59,V462_sloan_r_60.000secs_00000214_red.fits,60963.207237800925,2578.9353966366607,3436.973595258058,2672.961389667109
"StarA_(2534,3467)",60,V462_sloan_r_60.000secs_00000215_red.fits,60963.20794392361,2579.0344929890184,3437.0093332841384,3051.9850123284373
"StarA_(2534,3467)",61,V462_sloan_r_60.000secs_00000216_red.fits,60963.20865112269,2579.021992886632,3436.9903437073417,3313.3634512257518
"StarA_(2534,3467)",62,V462_sloan_r_60.000secs_00000217_red.fits,60963.209357719905,2579.006221825522,3437.006832010599,3233.5187700458505
"StarA_(2534,3467)",63,V462_sloan_r_60.000secs_00000218_red.fits,60963.21006454861,2578.9749140339727,3437.014485676926,2934.334480009228
"StarA_(2534,3467)",64,V462_sloan_r_60.000secs_00000219_red.fits,60963.210771261576,2579.0234808703112,3436.98927294986,2905.307048055467
"StarA_(2534,3467)",65,V462_sloan_r_60.000secs_00000220_red.fits,60963.211477592595,2579.0064424296024,3436.994081942069,3102.0015648318185
"StarA_(2534,3467)",66,V462_sloan_r_60.000secs_00000221_red.fits,60963.21218416667,2579.0665792631494,3436.982755202254,3167.2411287238333
"StarA_(2534,3467)",67,V462_sloan_r_60.000secs_00000222_red.fits,60963.21289076389,2579.0016232261187,3437.0123291389414,3462.3164339472582
"StarA_(2534,3467)",68,V462_sloan_r_60.000secs_00000223_red.fits,60963.21359712963,2578.9893940496836,3437.0005484087296,3115.5437908082154
"StarA_(2534,3467)",69,V462_sloan_r_60.000secs_00000224_red.fits,60963.21430807871,2578.9982534444875,3436.9976962414116,3172.935467953913
"StarA_(2534,3467)",70,V462_sloan_r_60.000secs_00000225_red.fits,60963.21501450231,2579.018952493743,3437.01392316147,3441.7838315195277
"StarA_(2534,3467)",71,V462_sloan_r_60.000secs_00000226_red.fits,60963.215721423614,2579.006912836512,3437.002747306192,3432.8168522120077
"StarA_(2534,3467)",72,V462_sloan_r_60.000secs_00000227_red.fits,60963.216428125,2578.9204022892463,3437.021865778037,3344.0785043506357
"StarA_(2534,3467)",73,V462_sloan_r_60.000secs_00000228_red.fits,60963.217134467595,2579.0063945460297,3436.9957037068575,3110.6554542610775
"StarA_(2534,3467)",74,V462_sloan_r_60.000secs_00000229_red.fits,60963.217841226855,2579.0155439371088,3437.0118539991545,3301.9539037210675
"StarA_(2534,3467)",75,V462_sloan_r_60.000secs_00000230_red.fits,60963.2185471412,2578.9910189569223,3436.9964117924937,2911.1617868878106
"StarA_(2534,3467)",76,V462_sloan_r_60.000secs_00000231_red.fits,60963.21925346065,2579.0086292908654,3436.9959969648166,2499.7026506429006
"StarA_(2534,3467)",77,V462_sloan_r_60.000secs_00000232_red.fits,60963.21996016204,2579.0526760206494,3436.9847200476565,2865.425297054862
"StarA_(2534,3467)",78,V462_sloan_r_60.000secs_00000233_red.fits,60963.22066655093,2579.0111560624096,3437.0142169952505,2828.829971515391
"StarA_(2534,3467)",79,V462_sloan_r_60.000secs_00000234_red.fits,60963.221373148146,2579.0021014942477,3436.9935494908314,3020.823849877558
"StarA_(2534,3467)",80,V462_sloan_r_60.000secs_00000235_red.fits,60963.222080196756,2578.986812087303,3437.0062160377934,2780.089887708663
"StarA_(2534,3467)",81,V462_sloan_r_60.000secs_00000236_red.fits,60963.222786736114,2578.692035010453,3437.078296969319,3044.9389370067884
"StarA_(2534,3467)",82,V462_sloan_r_60.000secs_00000237_red.fits,60963.22349325231,2578.9908195990424,3437.0035461361895,2814.962252189033
"StarA_(2534,3467)",83,V462_sloan_r_60.000secs_00000238_red.fits,60963.224203784725,2579.004874038771,3437.001164195928,2609.5595654186536
"StarA_(2534,3467)",84,V462_sloan_r_60.000secs_00000239_red.fits,60963.22491053241,2579.0097051874804,3436.994242203503,2888.8743798212695
"StarA_(2534,3467)",85,V462_sloan_r_60.000secs_00000240_red.fits,60963.22561663194,2579.015322607228,3437.002687204789,3061.7620635034095
"StarA_(2534,3467)",86,V462_sloan_r_60.000secs_00000241_red.fits,60963.22632314815,2579.3602658238324,3437.6298758922303,2607.1755667898888
"StarA_(2534,3467)",87,V462_sloan_r_60.000secs_00000242_red.fits,60963.22702961806,2579.0174503207745,3436.9954186011487,3049.6796895324105
"StarA_(2534,3467)",88,V462_sloan_r_60.000secs_00000243_red.fits,60963.22773584491,2579.1180912319123,3437.2103772311366,3267.307538076859
"StarA_(2534,3467)",89,V462_sloan_r_60.000secs_00000244_red.fits,60963.22844239583,2579.0085239722152,3436.994679089016,2546.8901748726767
"StarA_(2534,3467)",90,V462_sloan_r_60.000secs_00000245_red.fits,60963.229149479164,2579.0197719168036,3436.9900208723807,3195.2934591752805
"StarA_(2534,3467)",91,V462_sloan_r_60.000secs_00000246_red.fits,60963.22985577546,2579.0003773087396,3437.0071594967103,2503.0727111169153
"StarA_(2534,3467)",92,V462_sloan_r_60.000secs_00000247_red.fits,60963.23056261574,2579.009578741022,3436.996354580875,2633.1169762130644
"StarA_(2534,3467)",93,V462_sloan_r_60.000secs_00000248_red.fits,60963.23126880787,2579.0118219329875,3436.9977839939397,2869.497053712597
"StarA_(2534,3467)",94,V462_sloan_r_60.000secs_00000249_red.fits,60963.23197487269,2579.0053836457237,3437.0144393109713,3467.8060899663997
"StarA_(2534,3467)",95,V462_sloan_r_60.000secs_00000250_red.fits,60963.232681875,2578.9894303787332,3436.9793702315264,3431.259062957917
"StarA_(2534,3467)",96,V462_sloan_r_60.000secs_00000251_red.fits,60963.233388402776,2578.7382388717915,3436.9018887668485,3640.4358741082106
"StarA_(2534,3467)",97,V462_sloan_r_60.000secs_00000252_red.fits,60963.23410043981,2579.004617223037,3436.9984284012003,3184.1453867498985
"StarA_(2534,3467)",98,V462_sloan_r_60.000secs_00000253_red.fits,60963.23480666667,2579.053137588251,3437.0115595743705,3565.4368622687743
"StarA_(2534,3467)",99,V462_sloan_r_60.000secs_00000254_red.fits,60963.23551295139,2578.996024627926,3436.996558666015,3106.3030993005295
"StarA_(2534,3467)",100,V462_sloan_r_60.000secs_00000255_red.fits,60963.23621931713,2579.1260218286943,3437.2064887451797,2240.3454471949276
"StarA_(2534,3467)",101,V462_sloan_r_60.000secs_00000256_red.fits,60963.23692585648,2579.6478724653434,3436.834234093881,2657.7741635510038
"StarA_(2534,3467)",102,V462_sloan_r_60.000secs_00000257_red.fits,60963.237632199074,2579.0059003429656,3436.996146081165,2865.648120485165
"StarA_(2534,3467)",103,V462_sloan_r_60.000secs_00000258_red.fits,60963.23833866898,2578.9993221704267,3436.9957858476755,2612.0275354201517
"StarA_(2534,3467)",104,V462_sloan_r_60.000secs_00000259_red.fits,60963.23904554398,2578.9996584216615,3436.997930653645,2973.537038396104
"StarA_(2534,3467)",105,V462_sloan_r_60.000secs_00000260_red.fits,60963.23975159722,2533.329866687202,3467.540442256028,1878.4026642214067
"StarA_(2534,3467)",106,V462_sloan_r_60.000secs_00000261_red.fits,60963.24045761574,2532.3801247513147,3463.8988607053307,1654.6705540945181
"StarA_(2534,3467)",107,V462_sloan_r_60.000secs_00000262_red.fits,60963.24116373843,2579.0327771613474,3437.0024687625514,1921.568902270681
"StarA_(2534,3467)",108,V462_sloan_r_60.000secs_00000263_red.fits,60963.24187012731,2534.14306790671,3466.818248612635,2620.452136792119
"StarA_(2534,3467)",109,V462_sloan_r_60.000secs_00000264_red.fits,60963.24257659722,2535.8549873182355,3465.1513097406214,2183.9981943830066
"StarA_(2534,3467)",110,V462_sloan_r_60.000secs_00000265_red.fits,60963.24328321759,2529.9623884831876,3465.7731013146913,1915.6702563912945
"StarA_(2534,3467)",111,V462_sloan_r_60.000secs_00000266_red.fits,60963.24399596065,2558.655214931451,3453.706064009629,682.0476983267843
"StarA_(2534,3467)",112,V462_sloan_r_60.000secs_00000267_red.fits,60963.244702511576,2533.9576975786567,3475.6423773013266,1746.085716805886
