my_name,cand_name,my_ra,my_dec,cand_ra,cand_dec,my_nb,my_nb_err,cand_nb,cand_nb_err,my_flux,delta_nb
Target-19,LAE-18,356.4106666666666,-30.685063888888887,356.4106666666666,-30.685055555555557,24.880678918076253,,24.28,0.14,,0.6006789180762517
Target-21,LAE-20,356.5843749999999,-30.667761111111112,356.5843749999999,-30.66775,24.77249626592831,,24.57,0.19,,0.2024962659283105
Target-23,LAE-22,356.1877916666666,-30.518644444444444,356.1877916666666,-30.518638888888887,24.737785507347013,,24.52,0.18,,0.2177855073470134
Target-32,LAE-31,357.6133333333333,-30.353719444444447,357.6133333333333,-30.353694444444447,24.942149255927543,,24.26,0.14,,0.6821492559275413
Target-35,LAE-34,357.5968333333333,-30.179280555555557,357.5968333333333,-30.179277777777777,25.060798983180337,,24.62,0.2,,0.4407989831803363
Target-36,LAE-35,357.6877916666666,-30.087041666666664,357.6877916666666,-30.087027777777777,24.568192868279468,,24.32,0.15,,0.2481928682794674
Target-38,LAE-37,357.6522499999999,-30.029663888888887,357.6522499999999,-30.029638888888886,24.70303959456435,,24.58,0.19,,0.1230395945643501
Target-24,LAE-23,356.90625,-30.474541666666664,356.90625,-30.474527777777777,24.84258556576546,,24.6,0.2,,0.24258556576545942
Target-26,LAE-25,356.910625,-30.42993055555556,356.910625,-30.429916666666667,24.78309177903332,,24.49,0.18,,0.29309177903332184
Target-28,LAE-27,357.08758333333327,-30.401163888888888,357.08758333333327,-30.401138888888887,24.397196409593978,,24.52,0.18,,-0.12280359040602207
Target-29,LAE-28,356.83829166666663,-30.38153888888889,356.83829166666663,-30.381527777777777,24.092242031029873,,23.84,0.1,,0.25224203102987275
Target-31,LAE-30,357.3627083333333,-30.35721666666667,357.3627083333333,-30.357194444444445,24.507418770984128,,24.61,0.19,,-0.10258122901587186
Target-34,LAE-33,357.39437499999997,-30.211247222222223,357.39437499999997,-30.211222222222222,24.6412001574986,,24.52,0.18,,0.12120015749859903
Target-37,LAE-36,357.43116666666657,-30.05035,357.43116666666657,-30.050333333333334,24.496354145809427,,24.31,0.15,,0.18635414580942822
Target-39,LAE-38,357.1815833333333,-29.887205555555553,357.1815833333333,-29.887194444444443,24.94756178656511,,24.7,0.22,,0.24756178656511096
Target-25,LAE-24,356.1318333333333,-30.459941666666666,356.1318333333333,-30.459916666666665,24.543216441021315,,24.41,0.17,,0.13321644102131458
Target-27,LAE-26,356.1537916666667,-30.417897222222223,356.1537916666667,-30.41788888888889,24.039194668786156,,23.97,0.11,,0.06919466878615665
Target-30,LAE-29,356.61366666666663,-30.364325,356.61366666666663,-30.364305555555557,24.81770102090256,,24.4,0.16,,0.41770102090256245
Target-33,LAE-32,356.2621249999999,-30.209130555555554,356.2621249999999,-30.20911111111111,25.021530655805243,,24.73,0.21,,0.29153065580524284
